,ID,Vehicles
0,20170701001,55.0
1,20170701011,55.0
2,20170701021,51.0
3,20170701031,45.0
4,20170701041,39.0
5,20170701051,34.0
6,20170701061,33.0
7,20170701071,36.0
8,20170701081,39.0
9,20170701091,43.0
10,20170701101,48.0
11,20170701111,53.0
12,20170701121,54.0
13,20170701131,53.0
14,20170701141,53.0
15,20170701151,53.0
16,20170701161,54.0
17,20170701171,53.0
18,20170701181,55.0
19,20170701191,59.0
20,20170701201,60.0
21,20170701211,60.0
22,20170701221,59.0
23,20170701231,59.0
24,20170702001,43.0
25,20170702011,43.0
26,20170702021,39.0
27,20170702031,36.0
28,20170702041,32.0
29,20170702051,28.0
30,20170702061,28.0
31,20170702071,31.0
32,20170702081,35.0
33,20170702091,39.0
34,20170702101,46.0
35,20170702111,49.0
36,20170702121,50.0
37,20170702131,50.0
38,20170702141,49.0
39,20170702151,49.0
40,20170702161,50.0
41,20170702171,50.0
42,20170702181,54.0
43,20170702191,58.0
44,20170702201,59.0
45,20170702211,59.0
46,20170702221,59.0
47,20170702231,59.0
48,20170703001,45.0
49,20170703011,45.0
50,20170703021,43.0
51,20170703031,39.0
52,20170703041,36.0
53,20170703051,35.0
54,20170703061,39.0
55,20170703071,45.0
56,20170703081,51.0
57,20170703091,60.0
58,20170703101,75.0
59,20170703111,84.0
60,20170703121,87.0
61,20170703131,87.0
62,20170703141,87.0
63,20170703151,87.0
64,20170703161,88.0
65,20170703171,91.0
66,20170703181,93.0
67,20170703191,94.0
68,20170703201,95.0
69,20170703211,93.0
70,20170703221,91.0
71,20170703231,91.0
72,20170704001,62.0
73,20170704011,63.0
74,20170704021,60.0
75,20170704031,52.0
76,20170704041,43.0
77,20170704051,42.0
78,20170704061,45.0
79,20170704071,49.0
80,20170704081,57.0
81,20170704091,65.0
82,20170704101,82.0
83,20170704111,97.0
84,20170704121,102.0
85,20170704131,104.0
86,20170704141,104.0
87,20170704151,104.0
88,20170704161,104.0
89,20170704171,104.0
90,20170704181,105.0
91,20170704191,103.0
92,20170704201,102.0
93,20170704211,101.0
94,20170704221,102.0
95,20170704231,102.0
96,20170705001,63.0
97,20170705011,64.0
98,20170705021,60.0
99,20170705031,52.0
100,20170705041,44.0
101,20170705051,43.0
102,20170705061,46.0
103,20170705071,50.0
104,20170705081,57.0
105,20170705091,66.0
106,20170705101,88.0
107,20170705111,100.0
108,20170705121,105.0
109,20170705131,105.0
110,20170705141,106.0
111,20170705151,106.0
112,20170705161,106.0
113,20170705171,106.0
114,20170705181,107.0
115,20170705191,107.0
116,20170705201,106.0
117,20170705211,100.0
118,20170705221,97.0
119,20170705231,97.0
120,20170706001,64.0
121,20170706011,64.0
122,20170706021,59.0
123,20170706031,51.0
124,20170706041,43.0
125,20170706051,42.0
126,20170706061,45.0
127,20170706071,49.0
128,20170706081,57.0
129,20170706091,65.0
130,20170706101,93.0
131,20170706111,104.0
132,20170706121,106.0
133,20170706131,106.0
134,20170706141,107.0
135,20170706151,106.0
136,20170706161,107.0
137,20170706171,107.0
138,20170706181,108.0
139,20170706191,108.0
140,20170706201,106.0
141,20170706211,100.0
142,20170706221,97.0
143,20170706231,97.0
144,20170707001,64.0
145,20170707011,64.0
146,20170707021,60.0
147,20170707031,50.0
148,20170707041,42.0
149,20170707051,40.0
150,20170707061,44.0
151,20170707071,49.0
152,20170707081,58.0
153,20170707091,65.0
154,20170707101,84.0
155,20170707111,93.0
156,20170707121,94.0
157,20170707131,94.0
158,20170707141,94.0
159,20170707151,94.0
160,20170707161,93.0
161,20170707171,92.0
162,20170707181,93.0
163,20170707191,94.0
164,20170707201,92.0
165,20170707211,84.0
166,20170707221,82.0
167,20170707231,82.0
168,20170708001,53.0
169,20170708011,53.0
170,20170708021,46.0
171,20170708031,39.0
172,20170708041,34.0
173,20170708051,31.0
174,20170708061,31.0
175,20170708071,35.0
176,20170708081,40.0
177,20170708091,45.0
178,20170708101,50.0
179,20170708111,53.0
180,20170708121,53.0
181,20170708131,53.0
182,20170708141,53.0
183,20170708151,52.0
184,20170708161,52.0
185,20170708171,52.0
186,20170708181,54.0
187,20170708191,59.0
188,20170708201,60.0
189,20170708211,59.0
190,20170708221,59.0
191,20170708231,59.0
192,20170709001,42.0
193,20170709011,42.0
194,20170709021,37.0
195,20170709031,32.0
196,20170709041,29.0
197,20170709051,27.0
198,20170709061,28.0
199,20170709071,31.0
200,20170709081,35.0
201,20170709091,42.0
202,20170709101,46.0
203,20170709111,49.0
204,20170709121,50.0
205,20170709131,49.0
206,20170709141,48.0
207,20170709151,48.0
208,20170709161,48.0
209,20170709171,49.0
